song_id,views
0,165
7,386
12,41
13,94
14,12
15,55
16,122
17,7
18,67
19,22
20,42
21,53
22,29
23,36
24,28
25,30
26,128
27,24
28,124
29,61
30,172
31,50
32,64
33,77
34,12
35,65
36,30
37,27
38,99
39,49
40,46
41,41
42,149
43,28
44,47
45,28
46,44
47,35
48,26
49,25
50,25
51,86
52,61
53,69
54,54
55,32
56,307
57,24
58,41
59,73
60,50
61,13
62,24
63,42
64,40
65,66
66,23
67,52
68,8
69,12
70,40
71,24
72,37
73,20
74,39
75,54
76,47
77,39
78,192
79,113
80,25
81,80
82,130
83,20
84,7
85,374
86,56
87,15
88,12
89,7
91,11
92,20
93,33
94,44
95,10
96,17
97,38
98,179
99,142
100,64
101,31
102,35
103,8
104,34
105,40
106,43
107,66
108,53
109,34
110,20
111,28
112,28
113,25
114,54
115,206
116,23
117,24
118,25
119,47
120,24
121,61
122,55
123,55
124,29
125,89
126,22
127,36
128,31
129,50
130,39
131,23
132,53
133,12
134,7
135,50
136,62
137,79
138,54
139,54
140,65
141,40
142,60
143,7
144,6
145,2
146,6
147,2
148,2
149,298
150,100
151,50
152,26
153,39
154,45
155,32
156,45
157,26
158,49
159,24
160,78
161,28
162,49
163,44
164,75
165,26
166,23
167,29
168,26
169,28
170,79
171,31
172,15
173,28
174,28
175,33
176,39
177,185
178,170
179,167
180,409
181,223
182,111
183,96
184,136
185,57
186,26
187,37
188,15
189,30
190,21
191,21
192,25
193,42
194,24
195,26
196,33
197,19
198,2
199,18
200,149
201,17
202,35
203,23
204,79
205,20
206,5
207,21
209,23
210,1
211,35
212,10
214,6
215,9
216,94
217,44
218,34
219,32
220,92
221,25
222,7
223,5
224,14
225,25
226,59
227,8
228,10
229,15
230,13
231,16
232,6
233,12
234,84
235,9
236,32
237,53
238,34
239,65
240,19
241,13
242,33
243,14
244,5
245,19
246,3
247,16
248,36
249,42
250,10
251,23
252,16
253,14
255,28
256,29
257,29
258,32
259,31
260,35
261,43
262,25
263,20
264,18
265,63
266,22
267,2
268,21
269,36
270,25
271,19
272,218
273,50
274,44
275,16
276,38
277,20
278,34
279,763
281,34
282,14
283,41
284,25
285,22
286,35
287,21
288,30
289,28
290,23
291,27
292,32
293,767
294,15
295,58
296,10
297,11
298,11
299,37
300,12
301,32
302,42
303,14
304,13
305,42
306,27
307,14
308,27
309,36
310,30
311,11
312,16
313,15
314,11
315,15
316,5
317,6
318,68
319,13
320,26
321,16
322,4
323,4
324,30
325,23
326,20
327,16
328,20
329,18
330,23
331,22
332,22
333,18
334,34
335,4
336,137
337,33
338,64
339,104
340,17
341,40
342,52
343,33
344,44
345,13
346,36
347,35
348,164
349,45
350,36
351,31
352,44
353,24
354,151
355,23
356,19
357,57
358,30
359,59
360,10
361,50
362,43
363,54
364,16
365,100
366,58
367,20
368,11
369,65
370,33
371,55
372,26
375,24
376,81
377,110
378,94
379,24
380,90
381,21
382,23
383,15
384,9
385,64
386,72
387,41
388,24
389,40
390,9
391,16
392,15
393,60
394,54
395,33
396,52
397,37
398,16
399,168
400,45
401,771
402,24
403,36
404,23
405,11
406,20
407,20
408,23
409,21
410,26
411,29
412,2
413,3
414,106
415,23
416,25
417,31
418,4
419,2
420,25
421,18
422,2
423,35
424,2
425,122
426,26
427,1
428,31
429,1
431,34
432,16
433,43
434,79
435,19
436,160
437,65
438,32
439,12
440,37
441,13
442,12
443,32
444,43
445,4
446,6
447,51
448,41
449,30
450,72
451,66
452,18
453,59
454,21
455,112
456,62
458,131
459,16
461,26
462,17
463,37
464,22
465,23
466,106
467,43
468,8
469,34
470,28
472,17
473,44
474,25
475,169
476,20
477,44
478,35
479,18
480,75
481,36
482,57
483,46
484,26
485,12
486,23
487,17
488,6
489,29
490,31
491,25
492,18
493,25
494,12
495,35
496,48
497,29
498,24
499,26
500,45
501,38
502,88
503,33
504,19
505,3
506,19
507,22
508,32
509,5
510,16
511,14
512,31
514,16
515,34
516,42
517,34
518,20
519,26
520,41
521,70
522,19
523,19
524,24
525,41
526,24
527,17
528,38
529,17
530,19
531,22
532,25
533,20
534,43
535,58
536,28
537,38
538,27
539,23
540,55
541,39
542,17
543,17
544,15
545,16
546,22
547,163
548,25
549,20
550,31
551,31
552,27
553,36
554,38
555,19
556,37
557,54
558,47
559,57
560,34
561,40
562,37
563,40
564,26
565,41
566,98
567,35
568,36
569,99
570,63
571,79
572,44
573,65
574,38
575,75
576,54
577,41
578,28
579,76
580,35
581,30
582,34
583,28
584,25
585,40
586,26
587,18
588,67
589,117
590,24
591,34
592,6
593,19
594,23
595,34
596,21
597,104
598,31
599,20
600,30
601,38
602,33
603,41
604,39
605,68
606,39
607,37
608,32
609,18
610,28
611,24
612,38
613,40
614,13
615,12
616,6
617,96
618,23
619,22
620,22
621,27
622,86
623,28
624,45
625,53
626,30
627,49
628,24
629,14
630,18
631,18
632,22
633,22
634,29
635,7
636,27
637,52
638,45
639,29
640,39
641,26
642,21
643,2
644,44
645,20
646,104
647,21
648,67
649,53
650,10
651,6
652,11
653,7
654,20
655,25
656,9
657,6
658,4
659,21
660,11
661,20
662,30
663,13
664,7
665,5
666,19
667,11
668,19
669,27
670,37
671,26
672,23
673,3
674,51
675,17
676,29
677,27
678,21
679,19
680,29
681,34
682,50
683,11
684,45
685,33
686,32
687,33
688,31
689,24
690,30
691,26
692,29
693,42
694,43
695,22
696,31
697,40
698,18
699,45
700,24
701,23
702,20
703,39
704,44
705,23
706,22
707,23
708,21
709,24
710,4
711,44
712,25
713,35
714,10
715,4
716,31
717,40
718,6
719,7
720,4
721,6
722,52
723,113
724,24
725,48
726,28
727,54
728,20
729,83
730,39
731,52
732,6
733,15
734,10
735,6
736,33
737,8
738,15
739,20
740,5
741,7
742,15
743,39
744,17
745,22
746,46
747,18
748,42
749,39
750,47
751,32
752,11
753,25
754,19
755,28
756,18
757,26
758,34
759,34
760,36
761,13
762,31
763,34
764,11
765,19
766,14
767,16
768,35
769,30
770,50
771,25
772,26
773,29
774,77
775,32
776,29
777,43
778,44
779,10
780,12
781,113
782,38
783,25
784,30
785,25
786,16
787,15
788,16
789,17
790,30
791,37
792,29
793,17
794,24
795,24
796,36
797,25
798,132
799,48
800,26
801,26
802,30
803,48
804,20
805,20
806,16
807,56
808,26
809,20
810,113
811,98
812,18
813,20
814,15
815,29
816,29
817,28
818,35
819,18
820,33
821,22
822,17
823,49
824,5
825,5
826,7
827,33
828,28
829,17
830,29
831,46
832,22
833,21
834,6
835,3
836,2
837,4
838,50
839,3
840,5
841,22
842,11
843,18
844,5
845,21
846,46
847,31
848,108
849,48
850,32
851,28
852,32
853,22
854,20
855,14
856,115
857,30
858,16
859,13
860,19
861,27
862,5
863,31
864,20
865,17
866,9
867,30
868,8
869,38
870,8
871,12
872,31
873,25
874,32
875,52
876,24
877,27
878,15
879,25
880,24
881,21
882,14
883,3
884,30
885,45
886,6
887,24
888,23
889,36
890,26
891,45
892,46
893,33
894,78
895,13
896,28
897,26
898,15
899,13
900,12
901,29
902,28
903,26
904,23
905,67
906,23
907,33
908,16
909,11
910,18
911,31
912,31
913,51
914,54
915,25
916,60
917,8
918,22
919,20
920,8
921,55
922,15
923,37
924,21
925,23
926,68
927,8
928,22
929,28
930,37
931,98
932,256
933,19
934,118
935,52
936,277
937,14
938,18
939,27
940,23
941,15
942,20
943,1
944,26
945,6
946,31
947,34
948,59
949,15
950,28
951,2
952,45
953,23
954,18
955,12
956,46
957,30
958,12
959,38
960,27
961,53
962,19
963,45
964,17
965,19
966,55
967,10
968,34
969,23
970,23
971,17
972,7
973,24
974,1
975,63
976,14
977,28
978,27
979,3
